source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,31.88,239.1,1.5,359,"50 Stück (31,88 Euro netto)"
1,75,36.37,272.775,1.5,409,"75 Stück (36,37 Euro netto)"
2,100,40.6,304.5,1.5,457,"100 Stück (40,60 Euro netto)"
3,150,49.33,369.975,1.5,555,"150 Stück (49,33 Euro netto)"
4,200,58.05,435.375,1.5,653,"200 Stück (58,05 Euro netto)"
5,250,68.91,516.825,1.5,775,"250 Stück (68,91 Euro netto)"
6,300,77.89,584.175,1.5,876,"300 Stück (77,89 Euro netto)"
7,350,86.9,651.75,1.5,978,"350 Stück (86,90 Euro netto)"
8,400,95.89,719.175,1.5,1079,"400 Stück (95,89 Euro netto)"
9,450,104.9,786.75,1.5,1180,"450 Stück (104,90 Euro netto)"
10,500,113.9,854.25,1.5,1281,"500 Stück (113,90 Euro netto)"
11,750,158.9,1191.75,1.5,1788,"750 Stück (158,90 Euro netto)"
12,1000,170.41,1278.075,1.5,1917,"1.000 Stück (170,41 Euro netto)"
13,1250,263.93,1979.475,1.5,2969,"1.250 Stück (263,93 Euro netto)"
14,1500,276.52,2073.9,1.5,3111,"1.500 Stück (276,52 Euro netto)"
15,1750,289.12,2168.4,1.5,3253,"1.750 Stück (289,12 Euro netto)"
16,2000,301.73,2262.975,1.5,3394,"2.000 Stück (301,73 Euro netto)"
17,2250,314.34,2357.55,1.5,3536,"2.250 Stück (314,34 Euro netto)"
18,2500,326.96,2452.2,1.5,3678,"2.500 Stück (326,96 Euro netto)"
19,3000,449.86,3373.95,1.4,4724,"3.000 Stück (449,86 Euro netto)"
20,3500,470.35,3527.625,1.4,4939,"3.500 Stück (470,35 Euro netto)"
21,4000,490.83,3681.225,1.4,5154,"4.000 Stück (490,83 Euro netto)"
22,4500,511.32,3834.9,1.4,5369,"4.500 Stück (511,32 Euro netto)"
23,5000,531.82,3988.65,1.4,5584,"5.000 Stück (531,82 Euro netto)"
24,6000,850.88,6381.6,1.4,8934,"6.000 Stück (850,88 Euro netto)"
25,7000,904.07,6780.525,1.4,9493,"7.000 Stück (904,07 Euro netto)"
26,8000,957.25,7179.375,1.4,10051,"8.000 Stück (957,25 Euro netto)"
27,9000,1010.42,7578.15,1.4,10609,"9.000 Stück (1.010,42 Euro netto)"
28,10000,1063.61,7977.075,1.4,11168,"10.000 Stück (1.063,61 Euro netto)"
