source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,39.93,299.475,1.5,449,"50 Stück (39,93 Euro netto)"
1,75,47.82,358.65,1.5,538,"75 Stück (47,82 Euro netto)"
2,100,55.22,414.15,1.5,621,"100 Stück (55,22 Euro netto)"
3,150,70.53,528.975,1.5,793,"150 Stück (70,53 Euro netto)"
4,200,85.83,643.725,1.5,966,"200 Stück (85,83 Euro netto)"
5,250,104.15,781.125,1.5,1172,"250 Stück (104,15 Euro netto)"
6,300,119.9,899.25,1.5,1349,"300 Stück (119,90 Euro netto)"
7,350,135.67,1017.525,1.5,1526,"350 Stück (135,67 Euro netto)"
8,400,151.42,1135.65,1.5,1703,"400 Stück (151,42 Euro netto)"
9,450,167.19,1253.925,1.5,1881,"450 Stück (167,19 Euro netto)"
10,500,182.94,1372.05,1.5,2058,"500 Stück (182,94 Euro netto)"
11,750,268.98,2017.35,1.5,3026,"750 Stück (268,98 Euro netto)"
12,1000,293.97,2204.775,1.5,3307,"1.000 Stück (293,97 Euro netto)"
13,1250,432.74,3245.55,1.4,4544,"1.250 Stück (432,74 Euro netto)"
14,1500,453.05,3397.875,1.4,4757,"1.500 Stück (453,05 Euro netto)"
15,1750,472.4,3543,1.4,4960,"1.750 Stück (472,40 Euro netto)"
16,2000,491.76,3688.2,1.4,5163,"2.000 Stück (491,76 Euro netto)"
17,2250,511.1,3833.25,1.4,5367,"2.250 Stück (511,10 Euro netto)"
18,2500,530.46,3978.45,1.4,5570,"2.500 Stück (530,46 Euro netto)"
19,3000,766.31,5747.325,1.4,8046,"3.000 Stück (766,31 Euro netto)"
20,3500,805.62,6042.15,1.4,8459,"3.500 Stück (805,62 Euro netto)"
21,4000,844.93,6336.975,1.4,8872,"4.000 Stück (844,93 Euro netto)"
22,4500,884.25,6631.875,1.4,9285,"4.500 Stück (884,25 Euro netto)"
23,5000,923.54,6926.55,1.4,9697,"5.000 Stück (923,54 Euro netto)"
24,6000,1371.66,10287.45,1.3,13374,"6.000 Stück (1.371,66 Euro netto)"
25,7000,1446.33,10847.475,1.3,14102,"7.000 Stück (1.446,33 Euro netto)"
26,8000,1521.02,11407.65,1.3,14830,"8.000 Stück (1.521,02 Euro netto)"
27,9000,1595.7,11967.75,1.3,15558,"9.000 Stück (1.595,70 Euro netto)"
28,10000,1670.41,12528.075,1.3,16286,"10.000 Stück (1.670,41 Euro netto)"
