source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,34.65,259.875,1.5,390,"50 Stück (34,65 Euro netto)"
1,75,41.15,308.625,1.5,463,"75 Stück (41,15 Euro netto)"
2,100,47.25,354.375,1.5,532,"100 Stück (47,25 Euro netto)"
3,150,59.85,448.875,1.5,673,"150 Stück (59,85 Euro netto)"
4,200,72.45,543.375,1.5,815,"200 Stück (72,45 Euro netto)"
5,250,85.05,637.875,1.5,957,"250 Stück (85,05 Euro netto)"
6,300,97.65,732.375,1.5,1099,"300 Stück (97,65 Euro netto)"
7,350,110.25,826.875,1.5,1240,"350 Stück (110,25 Euro netto)"
8,400,122.85,921.375,1.5,1382,"400 Stück (122,85 Euro netto)"
9,450,135.45,1015.875,1.5,1524,"450 Stück (135,45 Euro netto)"
10,500,145.63,1092.225,1.5,1638,"500 Stück (145,63 Euro netto)"
11,750,173.35,1300.125,1.5,1950,"750 Stück (173,35 Euro netto)"
12,1000,182.59,1369.425,1.5,2054,"1.000 Stück (182,59 Euro netto)"
13,1250,265.74,1993.05,1.5,2990,"1.250 Stück (265,74 Euro netto)"
14,1500,277.6,2082,1.5,3123,"1.500 Stück (277,60 Euro netto)"
15,1750,289.46,2170.95,1.5,3256,"1.750 Stück (289,46 Euro netto)"
16,2000,301.32,2259.9,1.5,3390,"2.000 Stück (301,32 Euro netto)"
17,2250,313.18,2348.85,1.5,3523,"2.250 Stück (313,18 Euro netto)"
18,2500,325.04,2437.8,1.5,3657,"2.500 Stück (325,04 Euro netto)"
19,3000,469.55,3521.625,1.4,4930,"3.000 Stück (469,55 Euro netto)"
20,3500,493.63,3702.225,1.4,5183,"3.500 Stück (493,63 Euro netto)"
21,4000,517.72,3882.9,1.4,5436,"4.000 Stück (517,72 Euro netto)"
22,4500,541.8,4063.5,1.4,5689,"4.500 Stück (541,80 Euro netto)"
23,5000,565.89,4244.175,1.4,5942,"5.000 Stück (565,89 Euro netto)"
24,6000,840.46,6303.45,1.4,8825,"6.000 Stück (840,46 Euro netto)"
25,7000,886.22,6646.65,1.4,9305,"7.000 Stück (886,22 Euro netto)"
26,8000,931.98,6989.85,1.4,9786,"8.000 Stück (931,98 Euro netto)"
27,9000,977.75,7333.125,1.4,10266,"9.000 Stück (977,75 Euro netto)"
28,10000,1023.5,7676.25,1.4,10747,"10.000 Stück (1.023,50 Euro netto)"
