source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,37.75,283.125,1.5,425,"50 Stück (37,75 Euro netto)"
1,100,51.47,386.025,1.5,579,"100 Stück (51,47 Euro netto)"
2,150,65.2,489,1.5,734,"150 Stück (65,20 Euro netto)"
3,200,78.92,591.9,1.5,888,"200 Stück (78,92 Euro netto)"
4,250,95.57,716.775,1.5,1075,"250 Stück (95,57 Euro netto)"
5,500,163.64,1227.3,1.5,1841,"500 Stück (163,64 Euro netto)"
6,750,194.79,1460.925,1.5,2191,"750 Stück (194,79 Euro netto)"
7,1000,205.16,1538.7,1.5,2308,"1000 Stück (205,16 Euro netto)"
8,1500,321.18,2408.85,1.5,3613,"1500 Stück (321,18 Euro netto)"
9,2000,348.63,2614.725,1.5,3922,"2000 Stück (348,63 Euro netto)"
10,2500,376.07,2820.525,1.5,4231,"2500 Stück (376,07 Euro netto)"
11,3000,543.27,4074.525,1.4,5704,"3000 Stück (543,27 Euro netto)"
12,4000,599.01,4492.575,1.4,6290,"4000 Stück (599,01 Euro netto)"
13,5000,654.74,4910.55,1.4,6875,"5000 Stück (654,74 Euro netto)"
14,6000,972.42,7293.15,1.4,10210,"6000 Stück (972,42 Euro netto)"
15,7000,1025.37,7690.275,1.4,10766,"7000 Stück (1025,37 Euro netto)"
16,8000,1078.32,8087.4,1.4,11322,"8000 Stück (1078,32 Euro netto)"
17,9000,1131.28,8484.6,1.4,11878,"9000 Stück (1131,28 Euro netto)"
18,10000,1198.84,8991.3,1.4,12588,"10000 Stück (1198,84 Euro netto)"
