source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,37.75,283.125,1.5,425,"50 Stück (37,75 Euro netto)"
1,75,44.83,336.225,1.5,504,"75 Stück (44,83 Euro netto)"
2,100,51.47,386.025,1.5,579,"100 Stück (51,47 Euro netto)"
3,150,65.2,489,1.5,734,"150 Stück (65,20 Euro netto)"
4,200,78.92,591.9,1.5,888,"200 Stück (78,92 Euro netto)"
5,250,95.57,716.775,1.5,1075,"250 Stück (95,57 Euro netto)"
6,300,109.72,822.9,1.5,1234,"300 Stück (109,72 Euro netto)"
7,350,123.88,929.1,1.5,1394,"350 Stück (123,88 Euro netto)"
8,400,138.04,1035.3,1.5,1553,"400 Stück (138,04 Euro netto)"
9,450,152.2,1141.5,1.5,1712,"450 Stück (152,20 Euro netto)"
10,500,163.64,1227.3,1.5,1841,"500 Stück (163,64 Euro netto)"
11,750,194.79,1460.925,1.5,2191,"750 Stück (194,79 Euro netto)"
12,1000,205.16,1538.7,1.5,2308,"1.000 Stück (205,16 Euro netto)"
13,1250,307.47,2306.025,1.5,3459,"1.250 Stück (307,47 Euro netto)"
14,1500,321.18,2408.85,1.5,3613,"1.500 Stück (321,18 Euro netto)"
15,1750,334.91,2511.825,1.5,3768,"1.750 Stück (334,91 Euro netto)"
16,2000,348.63,2614.725,1.5,3922,"2.000 Stück (348,63 Euro netto)"
17,2250,362.36,2717.7,1.5,4077,"2.250 Stück (362,36 Euro netto)"
18,2500,376.07,2820.525,1.5,4231,"2.500 Stück (376,07 Euro netto)"
19,3000,543.27,4074.525,1.4,5704,"3.000 Stück (543,27 Euro netto)"
20,3500,571.14,4283.55,1.4,5997,"3.500 Stück (571,14 Euro netto)"
21,4000,599.01,4492.575,1.4,6290,"4.000 Stück (599,01 Euro netto)"
22,4500,626.87,4701.525,1.4,6582,"4.500 Stück (626,87 Euro netto)"
23,5000,654.74,4910.55,1.4,6875,"5.000 Stück (654,74 Euro netto)"
24,6000,972.42,7293.15,1.4,10210,"6.000 Stück (972,42 Euro netto)"
25,7000,1025.37,7690.275,1.4,10766,"7.000 Stück (1.025,37 Euro netto)"
26,8000,1078.32,8087.4,1.4,11322,"8.000 Stück (1.078,32 Euro netto)"
27,9000,1131.28,8484.6,1.4,11878,"9.000 Stück (1.131,28 Euro netto)"
28,10000,1198.84,8991.3,1.4,12588,"10.000 Stück (1.198,84 Euro netto)"
