source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,33.6,252,1.5,378,"50 Stück (33,60 Euro netto)"
1,75,38.2,286.5,1.5,430,"75 Stück (38,20 Euro netto)"
2,100,42.56,319.2,1.5,479,"100 Stück (42,56 Euro netto)"
3,150,51.54,386.55,1.5,580,"150 Stück (51,54 Euro netto)"
4,200,60.5,453.75,1.5,681,"200 Stück (60,50 Euro netto)"
5,250,71.55,536.625,1.5,805,"250 Stück (71,55 Euro netto)"
6,300,80.78,605.85,1.5,909,"300 Stück (80,78 Euro netto)"
7,350,90.03,675.225,1.5,1013,"350 Stück (90,03 Euro netto)"
8,400,99.26,744.45,1.5,1117,"400 Stück (99,26 Euro netto)"
9,450,108.5,813.75,1.5,1221,"450 Stück (108,50 Euro netto)"
10,500,117.73,882.975,1.5,1324,"500 Stück (117,73 Euro netto)"
11,750,163.93,1229.475,1.5,1844,"750 Stück (163,93 Euro netto)"
12,1000,171.46,1285.95,1.5,1929,"1.000 Stück (171,46 Euro netto)"
13,1250,265.01,1987.575,1.5,2981,"1.250 Stück (265,01 Euro netto)"
14,1500,278.02,2085.15,1.5,3128,"1.500 Stück (278,02 Euro netto)"
15,1750,291,2182.5,1.5,3274,"1.750 Stück (291,00 Euro netto)"
16,2000,304.01,2280.075,1.5,3420,"2.000 Stück (304,01 Euro netto)"
17,2250,317.02,2377.65,1.5,3566,"2.250 Stück (317,02 Euro netto)"
18,2500,330.03,2475.225,1.5,3713,"2.500 Stück (330,03 Euro netto)"
19,3000,462.08,3465.6,1.4,4852,"3.000 Stück (462,08 Euro netto)"
20,3500,484.09,3630.675,1.4,5083,"3.500 Stück (484,09 Euro netto)"
21,4000,506.11,3795.825,1.4,5314,"4.000 Stück (506,11 Euro netto)"
22,4500,528.11,3960.825,1.4,5545,"4.500 Stück (528,11 Euro netto)"
23,5000,550.12,4125.9,1.4,5776,"5.000 Stück (550,12 Euro netto)"
24,6000,785.98,5894.85,1.4,8253,"6.000 Stück (785,98 Euro netto)"
25,7000,825.27,6189.525,1.4,8665,"7.000 Stück (825,27 Euro netto)"
26,8000,864.58,6484.35,1.4,9078,"8.000 Stück (864,58 Euro netto)"
27,9000,903.89,6779.175,1.4,9491,"9.000 Stück (903,89 Euro netto)"
28,10000,943.2,7074,1.4,9904,"10.000 Stück (943,20 Euro netto)"
