source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,50,375,1.5,563,"50 Stück (39,93 Euro netto)"
1,100,100,750,1.5,1125,"100 Stück (55,22 Euro netto)"
2,150,150,1125,1.5,1688,"150 Stück (70,53 Euro netto)"
3,200,200,1500,1.5,2250,"200 Stück (85,83 Euro netto)"
4,250,250,1875,1.5,2813,"250 Stück (104,15 Euro netto)"
5,500,500,3750,1.4,5250,"500 Stück (182,94 Euro netto)"
6,750,750,5625,1.4,7875,"750 Stück (268,98 Euro netto)"
7,1000,1000,7500,1.4,10500,"1000 Stück (293,97 Euro netto)"
8,1500,1500,11250,1.3,14625,"1500 Stück (453,05 Euro netto)"
9,2000,2000,15000,1.3,19500,"2000 Stück (491,76 Euro netto)"
10,2500,2500,18750,1.3,24375,"2500 Stück (530,46 Euro netto)"
11,3000,3000,22500,1.3,29250,"3000 Stück (766,31 Euro netto)"
12,4000,4000,30000,1.3,39000,"4000 Stück (844,93 Euro netto)"
13,5000,5000,37500,1.3,48750,"5000 Stück (923,54 Euro netto)"
14,6000,6000,45000,1.3,58500,"6000 Stück (1371,66 Euro netto)"
15,7000,7000,52500,1.3,68250,"7000 Stück (1446,33 Euro netto)"
16,8000,8000,60000,1.3,78000,"8000 Stück (1521,02 Euro netto)"
17,9000,9000,67500,1.3,87750,"9000 Stück (1595,70 Euro netto)"
18,10000,10000,75000,1.3,97500,"10000 Stück (1670,41 Euro netto)"
