source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,38.12,285.9,1.5,429,"50 Stück (38,12 Euro netto)"
1,75,45.86,343.95,1.5,516,"75 Stück (45,86 Euro netto)"
2,100,53.09,398.175,1.5,597,"100 Stück (53,09 Euro netto)"
3,150,68.06,510.45,1.5,766,"150 Stück (68,06 Euro netto)"
4,200,83.02,622.65,1.5,934,"200 Stück (83,02 Euro netto)"
5,250,101.09,758.175,1.5,1137,"250 Stück (101,09 Euro netto)"
6,300,116.54,874.05,1.5,1311,"300 Stück (116,54 Euro netto)"
7,350,131.98,989.85,1.5,1485,"350 Stück (131,98 Euro netto)"
8,400,147.42,1105.65,1.5,1658,"400 Stück (147,42 Euro netto)"
9,450,162.86,1221.45,1.5,1832,"450 Stück (162,86 Euro netto)"
10,500,178.31,1337.325,1.5,2006,"500 Stück (178,31 Euro netto)"
11,750,262.34,1967.55,1.5,2951,"750 Stück (262,34 Euro netto)"
12,1000,292.15,2191.125,1.5,3287,"1.000 Stück (292,15 Euro netto)"
13,1250,429.57,3221.775,1.4,4510,"1.250 Stück (429,57 Euro netto)"
14,1500,450.72,3380.4,1.4,4733,"1.500 Stück (450,72 Euro netto)"
15,1750,469.42,3520.65,1.4,4929,"1.750 Stück (469,42 Euro netto)"
16,2000,488.1,3660.75,1.4,5125,"2.000 Stück (488,10 Euro netto)"
17,2250,506.8,3801,1.4,5321,"2.250 Stück (506,80 Euro netto)"
18,2500,525.5,3941.25,1.4,5518,"2.500 Stück (525,50 Euro netto)"
19,3000,745.89,5594.175,1.4,7832,"3.000 Stück (745,89 Euro netto)"
20,3500,782.62,5869.65,1.4,8218,"3.500 Stück (782,62 Euro netto)"
21,4000,819.34,6145.05,1.4,8603,"4.000 Stück (819,34 Euro netto)"
22,4500,856.06,6420.45,1.4,8989,"4.500 Stück (856,06 Euro netto)"
23,5000,892.8,6696,1.4,9374,"5.000 Stück (892,80 Euro netto)"
24,6000,1428.47,10713.525,1.3,13928,"6.000 Stück (1.428,47 Euro netto)"
25,7000,1517.77,11383.275,1.3,14798,"7.000 Stück (1.517,77 Euro netto)"
26,8000,1607.05,12052.875,1.3,15669,"8.000 Stück (1.607,05 Euro netto)"
27,9000,1696.32,12722.4,1.3,16539,"9.000 Stück (1.696,32 Euro netto)"
28,10000,1785.6,13392,1.3,17410,"10.000 Stück (1.785,60 Euro netto)"
