source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,29.53,221.475,1.5,332,"50 Stück (29,53 Euro netto)"
1,75,33.38,250.35,1.5,376,"75 Stück (33,38 Euro netto)"
2,100,37.02,277.65,1.5,416,"100 Stück (37,02 Euro netto)"
3,150,44.49,333.675,1.5,501,"150 Stück (44,49 Euro netto)"
4,200,51.98,389.85,1.5,585,"200 Stück (51,98 Euro netto)"
5,250,59.46,445.95,1.5,669,"250 Stück (59,46 Euro netto)"
6,300,66.94,502.05,1.5,753,"300 Stück (66,94 Euro netto)"
7,350,74.42,558.15,1.5,837,"350 Stück (74,42 Euro netto)"
8,400,81.9,614.25,1.5,921,"400 Stück (81,90 Euro netto)"
9,450,87.44,655.8,1.5,984,"450 Stück (87,44 Euro netto)"
10,500,88.36,662.7,1.5,994,"500 Stück (88,36 Euro netto)"
11,750,101.97,764.775,1.5,1147,"750 Stück (101,97 Euro netto)"
12,1000,106.51,798.825,1.5,1198,"1.000 Stück (106,51 Euro netto)"
13,1250,171.45,1285.875,1.5,1929,"1.250 Stück (171,45 Euro netto)"
14,1500,180.71,1355.325,1.5,2033,"1.500 Stück (180,71 Euro netto)"
15,1750,189.97,1424.775,1.5,2137,"1.750 Stück (189,97 Euro netto)"
16,2000,199.24,1494.3,1.5,2241,"2.000 Stück (199,24 Euro netto)"
17,2250,208.51,1563.825,1.5,2346,"2.250 Stück (208,51 Euro netto)"
18,2500,217.77,1633.275,1.5,2450,"2.500 Stück (217,77 Euro netto)"
19,3000,289.37,2170.275,1.5,3255,"3.000 Stück (289,37 Euro netto)"
20,3500,301.29,2259.675,1.5,3390,"3.500 Stück (301,29 Euro netto)"
21,4000,313.22,2349.15,1.5,3524,"4.000 Stück (313,22 Euro netto)"
22,4500,325.15,2438.625,1.5,3658,"4.500 Stück (325,15 Euro netto)"
23,5000,337.08,2528.1,1.5,3792,"5.000 Stück (337,08 Euro netto)"
24,6000,481.59,3611.925,1.4,5057,"6.000 Stück (481,59 Euro netto)"
25,7000,505.67,3792.525,1.4,5310,"7.000 Stück (505,67 Euro netto)"
26,8000,529.76,3973.2,1.4,5562,"8.000 Stück (529,76 Euro netto)"
27,9000,553.84,4153.8,1.4,5815,"9.000 Stück (553,84 Euro netto)"
28,10000,577.93,4334.475,1.4,6068,"10.000 Stück (577,93 Euro netto)"
